CATEGORY;ADDRESS;CITY;ZIPCODE
Un salon (8 places);Impasse de Pranoé 28;Bramois;1967
Un salon (8 places);Impasse de Pranoé 28;Bramois;1967
Un salon (8 places);Impasse de Pranoé 28;Bramois;1967
Un salon (8 places);Impasse de Pranoé 28;Bramois;1967
Un salon (8 places);Impasse de Pranoé 28;Bramois;1967
Un salon (8 places);Impasse de Pranoé 28;Bramois;1967
Un salon (8 places);Impasse de Pranoé 28;Bramois;1967
Un salon (8 places);Impasse de Pranoé 28;Bramois;1967
Un salon (8 places);Route de Molignon 53;Sion;1950
Un salon (8 places);Route de Molignon 53;Sion;1950
Un salon (8 places);Route de Molignon 53;Sion;1950
Un salon (8 places);Route de Molignon 53;Sion;1950
Un salon (8 places);Route de Molignon 53;Sion;1950
Un salon (8 places);Route de Molignon 53;Sion;1950
Un salon (8 places);Route de Molignon 53;Sion;1950
Un salon (8 places);Route de Molignon 53;Sion;1950
Un salon (8 places);Chemin de l'Etray 6;Fully;1926
Un salon (8 places);Chemin de l'Etray 6;Fully;1926
Un salon (8 places);Chemin de l'Etray 6;Fully;1926
Un salon (8 places);Chemin de l'Etray 6;Fully;1926
Un salon (8 places);Chemin de l'Etray 6;Fully;1926
Un salon (8 places);Chemin de l'Etray 6;Fully;1926
Un salon (8 places);Chemin de l'Etray 6;Fully;1926
Un salon (8 places);Chemin de l'Etray 6;Fully;1926
Un quart de salon (2 places);Chemin de la Borgnette, 18;Savièse;1965
Un quart de salon (2 places);Chemin de la Borgnette, 18;Savièse;1965
Un demi-salon (4 places);Place du Midi 4;Martigny;1920
Un demi-salon (4 places);Place du Midi 4;Martigny;1920
Un demi-salon (4 places);Place du Midi 4;Martigny;1920
Un demi-salon (4 places);Place du Midi 4;Martigny;1920
Invitation;;;
Invitation;;;
Un salon (8 places);Ch. Des Colombaires  57;Cully;1096
Un salon (8 places);Ch. Des Colombaires  57;Cully;1096
Un salon (8 places);Ch. Des Colombaires  57;Cully;1096
Un salon (8 places);Ch. Des Colombaires  57;Cully;1096
Un salon (8 places);Ch. Des Colombaires  57;Cully;1096
Un salon (8 places);Ch. Des Colombaires  57;Cully;1096
Un salon (8 places);Ch. Des Colombaires  57;Cully;1096
Un salon (8 places);Ch. Des Colombaires  57;Cully;1096
Un demi-salon (4 places);Avenue Gilamont 46B;Vevey;1800
Un demi-salon (4 places);Avenue Gilamont 46B;Vevey;1800
Un demi-salon (4 places);Avenue Gilamont 46B;Vevey;1800
Un demi-salon (4 places);Avenue Gilamont 46B;Vevey;1800
Un salon (8 places);Trame 7;Randogne;3975
Un salon (8 places);Trame 7;Randogne;3975
Un salon (8 places);Trame 7;Randogne;3975
Un salon (8 places);Trame 7;Randogne;3975
Un salon (8 places);Trame 7;Randogne;3975
Un salon (8 places);Trame 7;Randogne;3975
Un salon (8 places);Trame 7;Randogne;3975
Un salon (8 places);Trame 7;Randogne;3975
Un demi-salon (4 places);Route du Grand Verger 29;Martigny-Croix;1921
Un demi-salon (4 places);Route du Grand Verger 29;Martigny-Croix;1921
Un demi-salon (4 places);Route du Grand Verger 29;Martigny-Croix;1921
Un demi-salon (4 places);Route du Grand Verger 29;Martigny-Croix;1921
Invitation;;;
Invitation;;;
Invitation;;;
Invitation;;;
Invitation;;;
Invitation;;;
Un quart de salon (2 places);Steingasse 2;Lalden;3931
Un quart de salon (2 places);Steingasse 2;Lalden;3931
Un quart de salon (2 places);Route de nendaz 717;Nendaz;1997
Un quart de salon (2 places);Route de nendaz 717;Nendaz;1997
Invitation;;;
Invitation;;;
Invitation;;;
Invitation;;;
Invitation;;;
Invitation;;;
Un demi-salon (4 places);Ch. des Carrières 19c;Monthey;1870
Un demi-salon (4 places);Ch. des Carrières 19c;Monthey;1870
Un demi-salon (4 places);Ch. des Carrières 19c;Monthey;1870
Un demi-salon (4 places);Ch. des Carrières 19c;Monthey;1870
Un salon (8 places);Rte des Cliniques 2;Fribourg;1700
Un salon (8 places);Rte des Cliniques 2;Fribourg;1700
Un salon (8 places);Rte des Cliniques 2;Fribourg;1700
Un salon (8 places);Rte des Cliniques 2;Fribourg;1700
Un salon (8 places);Rte des Cliniques 2;Fribourg;1700
Un salon (8 places);Rte des Cliniques 2;Fribourg;1700
Un salon (8 places);Rte des Cliniques 2;Fribourg;1700
Un salon (8 places);Rte des Cliniques 2;Fribourg;1700
Un quart de salon (2 places);Chemin de Buiron;Venthône;3973
Un quart de salon (2 places);Chemin de Buiron;Venthône;3973
Un salon (8 places);Rte de Valan 17;Blignou;1966
Un salon (8 places);Rte de Valan 17;Blignou;1966
Un salon (8 places);Rte de Valan 17;Blignou;1966
Un salon (8 places);Rte de Valan 17;Blignou;1966
Un salon (8 places);Rte de Valan 17;Blignou;1966
Un salon (8 places);Rte de Valan 17;Blignou;1966
Un salon (8 places);Rte de Valan 17;Blignou;1966
Un salon (8 places);Rte de Valan 17;Blignou;1966
Un quart de salon (2 places);Route des étangs 3;1965 Savièse;1965
Un quart de salon (2 places);Route des étangs 3;1965 Savièse;1965
Un demi-salon (4 places);Rue Marc Morand 9A;Martigny;1920
Un demi-salon (4 places);Rue Marc Morand 9A;Martigny;1920
Un demi-salon (4 places);Rue Marc Morand 9A;Martigny;1920
Un demi-salon (4 places);Rue Marc Morand 9A;Martigny;1920
Invitation;;;
Invitation;;;
Invitation;;;
Invitation;;;
Invitation;;;
Invitation;;;
Invitation;;;
Invitation;;;
Un demi-salon (4 places);Boulevard Saint-Georges 7;Genève;1205
Un demi-salon (4 places);Boulevard Saint-Georges 7;Genève;1205
Un demi-salon (4 places);Boulevard Saint-Georges 7;Genève;1205
Un demi-salon (4 places);Boulevard Saint-Georges 7;Genève;1205
Un quart de salon (2 places);Clodevis 64;Bramois;1967
Un quart de salon (2 places);Clodevis 64;Bramois;1967
Un demi-salon (4 places);Avenue du tribunal-federal 3;Lausanne;1005
Un demi-salon (4 places);Avenue du tribunal-federal 3;Lausanne;1005
Un demi-salon (4 places);Avenue du tribunal-federal 3;Lausanne;1005
Un demi-salon (4 places);Avenue du tribunal-federal 3;Lausanne;1005
Invitation;;;
Invitation;;;
Invitation;;;
Invitation;;;
Invitation;;;
Invitation;;;
Invitation;;;
Invitation;;;
Invitation;;;
Invitation;;;
Un salon (8 places);Rue du Rhône 21;Sion;1950
Un salon (8 places);Rue du Rhône 21;Sion;1950
Un salon (8 places);Rue du Rhône 21;Sion;1950
Un salon (8 places);Rue du Rhône 21;Sion;1950
Un salon (8 places);Rue du Rhône 21;Sion;1950
Un salon (8 places);Rue du Rhône 21;Sion;1950
Un salon (8 places);Rue du Rhône 21;Sion;1950
Un salon (8 places);Rue du Rhône 21;Sion;1950
Un quart de salon (2 places);Ch. de la Source 46;Coppet;1296
Un quart de salon (2 places);Ch. de la Source 46;Coppet;1296
Un quart de salon (2 places);place du scex 7;sion;1950
Un quart de salon (2 places);place du scex 7;sion;1950
Un quart de salon (2 places);Route de Saint-Cergue 36B;Nyon;1260
Un quart de salon (2 places);Route de Saint-Cergue 36B;Nyon;1260
Un quart de salon (2 places);Entre-deux-torrents 4;Loc;3960
